"filename", "language", "YAML", "Docker", "JSON", "JavaScript", "Markdown", "Shell Script", "MS SQL", "Terraform", "HCL", "Properties", "comment", "blank", "total"
"/home/nitroarch/kood/code-keeper/repos/gateway/package.json", "JSON", 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 1, 25
"/home/nitroarch/kood/code-keeper/repos/gateway/server.js", "JavaScript", 0, 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 11, 64
"/home/nitroarch/kood/code-keeper/repos/gateway/test/gateway.test.js", "JavaScript", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 1, 4, 18
"/home/nitroarch/kood/code-keeper/repos/gateway/test/scanvars.js", "JavaScript", 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 4, 8, 27
"/home/nitroarch/kood/code-keeper/repos/gateway/testpipeline.yaml", "YAML", 95, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 107
"/home/nitroarch/kood/code-keeper/repos/inventory-secret.yaml", "YAML", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14
"/home/nitroarch/kood/code-keeper/repos/inventory/.gitlab-ci.yml", "YAML", 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 74
"/home/nitroarch/kood/code-keeper/repos/inventory/Dockerfile", "Docker", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 17
"/home/nitroarch/kood/code-keeper/repos/inventory/db/Dockerfile", "Docker", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 11
"/home/nitroarch/kood/code-keeper/repos/inventory/db/setup-db.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 4, 7, 36
"/home/nitroarch/kood/code-keeper/repos/inventory/db/setup_db.sh", "Shell Script", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 5, 10, 27
"/home/nitroarch/kood/code-keeper/repos/inventory/package.json", "JSON", 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 1, 26
"/home/nitroarch/kood/code-keeper/repos/inventory/server.js", "JavaScript", 0, 0, 0, 97, 0, 0, 0, 0, 0, 0, 10, 14, 121
"/home/nitroarch/kood/code-keeper/repos/inventory/test/inventory.test.js", "JavaScript", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 1, 4, 18
"/home/nitroarch/kood/code-keeper/repos/inventory/test/scanvars.js", "JavaScript", 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 4, 8, 27
"/home/nitroarch/kood/code-keeper/repos/manifests/README.md", "Markdown", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
